	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 3 18 18	0.0123 0.0661 0.1474 0.1482 0.3688 0.0613 0.0002 0.0055 0.1228 0.0010 0.0001 0.0092 0.0000 0.0000 0.0109 0.0036 0.0013 0.0001 0.0000 0.0000 0.0000 0.0059 0.0314 0.0000 0.0001 0.0005 0.0001 0.0000 0.0070 0.0498 0.0184 0.0171 0.1382 0.1436 0.0005	0.0786 0.2906 0.4849 0.6902 1.1162 0.2523 0.0022 0.0412 0.5524 0.0101 0.0013 0.0639 0.0002 0.0004 0.0669 0.0295 0.0130 0.0008 0.0000 -0.0000 0.0002 0.0413 0.1652 0.0005 0.0010 0.0042 0.0008 0.0000 0.0483 0.2358 0.0933 0.0878 0.5982 0.4790 0.0046	0.0006 0.0025 0.0065 0.0489 0.0451 0.0038 0.0001 0.0011 0.0268 0.0007 0.0001 0.0023 0.0000 0.0000 0.0006 0.0013 0.0008 0.0000 0.0000 0.0000 0.0000 0.0002 0.0023 0.0000 0.0000 0.0000 0.0000 0.0000 0.0009 0.0044 0.0003 0.0002 0.0233 0.0074 0.0001	0.0140 0.0707 0.1515 0.1595 0.3718 0.0603 0.0002 0.0057 0.1242 0.0011 0.0001 0.0099 0.0000 0.0000 0.0107 0.0040 0.0017 0.0001 0.0000 0.0000 0.0000 0.0070 0.0364 0.0000 0.0001 0.0005 0.0001 0.0000 0.0074 0.0533 0.0184 0.0170 0.2072 0.2713 0.0008
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 0 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0584 0.0038 0.0216 0.0000 0.0100 0.4636 0.4164 0.1683 0.0001 0.0246 0.0006 0.0004 0.0063 0.0000 0.2269 0.0018 0.0005 0.0003 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002	0.2911 0.0313 0.1343 0.0002 0.0688 1.3517 1.4074 0.6961 0.0016 0.1288 0.0057 0.0040 0.0473 0.0002 0.7861 0.0166 0.0045 0.0030 0.0018 0.0010 0.0007 0.0007 0.0009 0.0013 0.0018 0.0022 0.0025 0.0026 0.0026 0.0025 0.0024 0.0023 0.0022 0.0022 0.0022	0.0025 0.0011 0.0042 0.0000 0.0018 0.0810 0.1043 0.0381 0.0001 0.0009 0.0001 0.0002 0.0013 0.0000 0.0205 0.0008 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0599 0.0052 0.0335 0.0000 0.0112 0.4917 0.4351 0.1715 0.0002 0.0244 0.0006 0.0005 0.0090 0.0000 0.2662 0.0021 0.0005 0.0003 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.0003 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0522 0.0011 0.0051 0.0002 0.0006 0.0023 0.0008 0.0000 0.0000 0.0000 0.0005 0.0207 0.3789 0.0047 0.0010 0.0001 0.0028 0.0000 0.0000 0.0000 0.0001 0.0025 0.0153 0.0001 0.2557 0.0031 0.0000 0.0000 0.0000 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002	0.2777 0.0102 0.0367 0.0021 0.0057 0.0198 0.0074 0.0003 0.0002 0.0003 0.0051 0.1237 1.5266 0.0368 0.0099 0.0007 0.0212 0.0000 -0.0000 0.0005 0.0014 0.0221 0.1093 0.0014 1.0173 0.0260 0.0005 0.0002 0.0005 0.0010 0.0014 0.0016 0.0017 0.0018 0.0019	0.0026 0.0002 0.0006 0.0001 0.0001 0.0005 0.0001 0.0000 0.0000 0.0000 0.0000 0.0021 0.1527 0.0013 0.0007 0.0000 0.0003 0.0000 0.0000 0.0000 0.0000 0.0008 0.0062 0.0001 0.0623 0.0013 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0549 0.0014 0.0056 0.0002 0.0007 0.0027 0.0009 0.0000 0.0000 0.0000 0.0005 0.0204 0.4452 0.0065 0.0013 0.0001 0.0031 0.0000 0.0000 0.0001 0.0002 0.0034 0.0197 0.0002 0.3286 0.0042 0.0000 0.0000 0.0000 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0576 0.0001 0.0027 0.0053 0.0078 0.0014 0.0001 0.0000 0.0001 0.0016 0.0147 0.0001 0.0018 0.0000 0.0131 0.0000 0.0000 0.0008 0.0006 0.0010 0.0002 0.0001 0.0018 0.0000 0.0125 0.0005 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002	0.3020 0.0010 0.0229 0.0364 0.0500 0.0112 0.0008 0.0000 0.0006 0.0136 0.0932 0.0011 0.0160 0.0004 0.0870 0.0001 0.0004 0.0077 0.0058 0.0096 0.0027 0.0007 0.0137 0.0001 0.0815 0.0043 0.0017 0.0011 0.0009 0.0009 0.0010 0.0013 0.0016 0.0018 0.0019	0.0036 0.0000 0.0006 0.0004 0.0006 0.0001 0.0000 0.0000 0.0000 0.0003 0.0024 0.0000 0.0005 0.0000 0.0019 0.0000 0.0000 0.0002 0.0002 0.0004 0.0001 0.0000 0.0002 0.0000 0.0029 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0587 0.0001 0.0028 0.0057 0.0083 0.0014 0.0001 0.0000 0.0001 0.0024 0.0244 0.0001 0.0022 0.0000 0.0148 0.0000 0.0000 0.0009 0.0007 0.0012 0.0003 0.0001 0.0018 0.0000 0.0133 0.0005 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0712 0.0025 0.0455 0.0083 0.1131 0.1501 0.0028 0.0001 0.0001 0.0000 0.0001 0.0008 0.0003 0.0001 0.0034 0.0000 0.0001 0.0010 0.0000 0.0000 0.0000 0.0000 0.0000 0.0174 0.0007 0.0002 0.0002 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0003 0.0003	0.3648 0.0214 0.2531 0.0577 0.5399 0.7200 0.0252 0.0010 0.0013 0.0001 0.0006 0.0071 0.0034 0.0008 0.0276 0.0001 0.0014 0.0096 0.0001 0.0002 0.0001 -0.0000 -0.0000 0.0910 0.0062 0.0017 0.0020 0.0024 0.0023 0.0020 0.0020 0.0023 0.0026 0.0028 0.0029	0.0049 0.0007 0.0092 0.0019 0.0302 0.0560 0.0017 0.0001 0.0000 0.0000 0.0000 0.0001 0.0002 0.0001 0.0010 0.0000 0.0000 0.0004 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001	0.0761 0.0031 0.0546 0.0131 0.1674 0.1841 0.0035 0.0001 0.0001 0.0000 0.0001 0.0008 0.0004 0.0001 0.0037 0.0000 0.0001 0.0011 0.0000 0.0000 0.0000 0.0000 0.0000 0.0177 0.0008 0.0002 0.0002 0.0003 0.0002 0.0002 0.0002 0.0002 0.0003 0.0003 0.0003
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0520 0.0001 0.0039 0.0071 0.0000 0.0000 0.0014 0.0003 0.0001 0.0000 0.0000 0.0000 0.0000 0.1524 0.0013 0.0000 0.0197 0.0502 0.0000 0.0002 0.0046 0.0023 0.0227 0.0008 0.0000 0.0000 0.0019 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002	0.2818 0.0011 0.0312 0.0490 0.0005 0.0001 0.0117 0.0028 0.0008 0.0002 0.0002 0.0003 0.0004 0.5338 0.0112 0.0004 0.1098 0.2555 0.0002 0.0019 0.0348 0.0186 0.1130 0.0070 0.0001 -0.0000 0.0154 0.0013 0.0008 0.0014 0.0020 0.0019 0.0017 0.0017 0.0020	0.0034 0.0000 0.0008 0.0011 0.0000 0.0000 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0034 0.0003 0.0000 0.0011 0.0058 0.0000 0.0001 0.0011 0.0006 0.0010 0.0002 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0538 0.0001 0.0059 0.0124 0.0001 0.0000 0.0015 0.0003 0.0001 0.0000 0.0000 0.0000 0.0001 0.2751 0.0020 0.0000 0.0198 0.0506 0.0000 0.0002 0.0048 0.0024 0.0227 0.0008 0.0000 0.0000 0.0032 0.0002 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0565 0.2103 0.0123 0.4346 0.0146 0.0004 0.0141 0.0003 0.0012 0.0002 0.0001 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002	0.2840 0.9547 0.0932 1.6624 0.1070 0.0042 0.0979 0.0032 0.0102 0.0025 0.0016 0.0001 0.0000 -0.0000 0.0006 0.0002 0.0003 0.0008 0.0014 0.0013 0.0010 0.0009 0.0011 0.0014 0.0015 0.0016 0.0016 0.0016 0.0017 0.0018 0.0019 0.0020 0.0020 0.0021 0.0021	0.0024 0.0631 0.0078 0.1607 0.0066 0.0003 0.0034 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0584 0.2417 0.0171 0.5010 0.0171 0.0004 0.0163 0.0003 0.0014 0.0003 0.0002 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0616 0.0017 0.0001 0.0126 0.0005 0.0002 0.0002 0.0000 0.0007 0.0000 0.0000 0.0000 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.0002 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002	0.2965 0.0152 0.0015 0.0831 0.0050 0.0019 0.0020 0.0000 0.0067 0.0003 0.0002 0.0004 0.0010 0.0014 0.0016 0.0017 0.0019 0.0023 0.0026 0.0027 0.0028 0.0028 0.0028 0.0029 0.0028 0.0028 0.0027 0.0026 0.0025 0.0024 0.0024 0.0023 0.0023 0.0023 0.0023	0.0024 0.0005 0.0001 0.0014 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0625 0.0020 0.0002 0.0178 0.0008 0.0002 0.0003 0.0000 0.0010 0.0000 0.0000 0.0000 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0593 0.0016 0.0004 0.0331 0.0003 0.0000 0.0007 0.0000 0.0000 0.0000 0.0007 0.0003 0.0000 0.0432 0.0009 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002	0.2944 0.0148 0.0039 0.1983 0.0035 0.0001 0.0066 0.0001 0.0001 0.0002 0.0057 0.0035 0.0000 0.2184 0.0086 0.0018 0.0010 0.0008 0.0008 0.0008 0.0011 0.0015 0.0020 0.0024 0.0027 0.0028 0.0029 0.0030 0.0030 0.0030 0.0029 0.0028 0.0026 0.0025 0.0024	0.0024 0.0005 0.0001 0.0066 0.0001 0.0000 0.0001 0.0000 0.0000 0.0000 0.0001 0.0001 0.0000 0.0044 0.0003 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0618 0.0019 0.0005 0.0432 0.0004 0.0000 0.0008 0.0000 0.0000 0.0000 0.0007 0.0005 0.0000 0.0757 0.0012 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0002 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0621 0.0099 0.0063 0.0020 0.0106 0.0000 0.0150 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002	0.3004 0.0773 0.0514 0.0164 0.0637 0.0001 0.0889 0.0013 0.0006 0.0009 0.0012 0.0011 0.0011 0.0014 0.0020 0.0027 0.0033 0.0034 0.0033 0.0031 0.0029 0.0027 0.0026 0.0025 0.0025 0.0025 0.0025 0.0024 0.0024 0.0024 0.0024 0.0024 0.0024 0.0024 0.0024	0.0024 0.0042 0.0034 0.0003 0.0006 0.0000 0.0013 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0637 0.0113 0.0086 0.0022 0.0111 0.0000 0.0160 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0003 0.0003 0.0004 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002
