batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.0082	0.0001	77.9496	0.0001	0.0146	0.8307	129.0136	0.0729	0.0567	0.0482	-0.0410	-0.0072	-0.0108	79.9866	0.0001	0.0001	0.0000	129.0000	0.3792	0.2746	0.2353	-0.3072	0.0038	0.0195	0.2080	0.4782	0.2023	0.4714	0.2105	0.4844	0.2122	0.5067	0.2331	0.5268	0.2282	0.5123
850	0.0114	0.0005	77.9499	0.0002	0.0150	0.8460	128.5750	0.1132	0.1116	0.1174	-0.0420	0.0430	0.0605	79.9869	0.0001	0.0001	0.0000	128.5494	-0.4798	-0.4900	-0.5565	0.0931	-0.0018	-0.1222	0.1965	0.4756	0.1995	0.4824	0.2049	0.4857	0.1833	0.4374	0.2485	0.5659	0.2464	0.5450
1275	0.0148	0.0008	77.9263	0.0003	0.0281	0.8514	104.7014	0.1517	0.1728	0.1697	0.1285	0.1453	0.1753	79.9648	0.0002	0.0002	0.0000	106.1139	-0.6713	-0.6413	-0.6634	-0.6269	-0.2368	-0.2997	0.2648	0.5502	0.2653	0.5550	0.2617	0.5540	0.2542	0.5231	0.2633	0.5685	0.2715	0.5852
1700	0.0528	0.0142	77.9066	0.0006	0.0479	0.8634	81.5906	0.2281	0.2004	0.1698	0.1385	0.1250	0.1704	79.9548	0.0003	0.0003	0.0000	92.9052	-0.1454	-0.3221	-0.3875	-0.0033	-0.1950	-0.2112	0.3418	0.6815	0.3521	0.6773	0.3384	0.6642	0.2637	0.5645	0.2966	0.6253	0.3217	0.6527
2125	0.1330	0.0747	77.8174	0.0013	0.0946	0.8588	51.0915	0.3095	0.3223	0.2828	0.2490	0.1093	0.2378	79.9023	0.0006	0.0006	0.0000	65.0968	-0.1410	-0.2352	-0.2657	-0.0830	-0.2557	-0.3022	0.3793	0.7142	0.4052	0.7529	0.4013	0.7476	0.3428	0.6736	0.2664	0.5850	0.3336	0.6835
2550	0.2716	0.1918	77.7053	0.0018	0.1549	0.8602	33.4824	0.3967	0.3962	0.3030	0.3393	0.0814	0.2096	79.8350	0.0011	0.0011	0.0010	50.7480	-0.4836	-0.6031	-0.6064	-0.3293	0.0066	-0.2751	0.3903	0.7067	0.4255	0.7574	0.4279	0.7735	0.3696	0.6942	0.3114	0.6464	0.4178	0.7368
2975	0.3994	0.2933	77.6134	0.0020	0.1916	0.8702	26.1588	0.4431	0.4419	0.3443	0.4024	0.1762	0.3180	79.7920	0.0014	0.0014	0.0000	43.4425	-0.5713	-0.7239	-0.6730	-0.3551	0.0552	-0.2370	0.4078	0.7407	0.4612	0.7865	0.4685	0.7965	0.3839	0.7223	0.3258	0.6730	0.4698	0.7807
3400	0.4756	0.3564	77.5696	0.0019	0.1941	0.8693	22.7682	0.5268	0.5000	0.3722	0.5079	0.2320	0.3539	79.7697	0.0015	0.0015	0.0000	39.2681	-0.5771	-0.6782	-0.6008	-0.3879	0.0316	-0.3163	0.4161	0.7480	0.4607	0.7955	0.4669	0.8075	0.3885	0.7323	0.3531	0.7081	0.5388	0.8219
3825	0.5080	0.3816	77.5401	0.0019	0.1872	0.8727	21.1625	0.5801	0.5460	0.4299	0.5373	0.2770	0.3986	79.7647	0.0016	0.0016	0.0000	37.7500	-0.5566	-0.6478	-0.5955	-0.3844	0.0039	-0.3546	0.4490	0.7647	0.5023	0.8106	0.5150	0.8303	0.4190	0.7516	0.3766	0.7254	0.5783	0.8413
4250	0.5205	0.3904	77.5411	0.0019	0.1857	0.8722	21.2972	0.6022	0.5719	0.4583	0.5606	0.3012	0.4214	79.7697	0.0015	0.0015	0.0000	37.5645	-0.5406	-0.6293	-0.5789	-0.3573	-0.0486	-0.3789	0.4542	0.7723	0.4937	0.8134	0.5174	0.8304	0.4175	0.7550	0.3820	0.7338	0.5649	0.8344
4675	0.5460	0.4142	77.5634	0.0019	0.1823	0.8776	23.1261	0.6053	0.5807	0.4560	0.5678	0.2384	0.3883	79.7999	0.0013	0.0013	0.0000	42.0383	-0.5135	-0.6419	-0.5977	-0.3473	-0.0389	-0.3878	0.5166	0.8001	0.5553	0.8343	0.5600	0.8465	0.4315	0.7724	0.3529	0.7091	0.6077	0.8494
5100	0.5437	0.4110	77.5826	0.0020	0.1897	0.8781	25.7023	0.6188	0.5859	0.4406	0.5847	0.2236	0.4098	79.8158	0.0012	0.0012	0.0000	46.1996	-0.4575	-0.5761	-0.5711	-0.2986	-0.0152	-0.3849	0.4812	0.7943	0.5627	0.8446	0.5660	0.8521	0.4326	0.7807	0.3625	0.7110	0.6120	0.8534
5525	0.5503	0.4150	77.6063	0.0021	0.1939	0.8807	29.8852	0.6348	0.5821	0.4595	0.5625	0.1651	0.3912	79.8327	0.0011	0.0011	0.0000	51.3095	-0.4396	-0.5636	-0.5511	-0.2559	-0.0193	-0.3233	0.5329	0.8206	0.5760	0.8535	0.5894	0.8628	0.4444	0.7855	0.3392	0.6870	0.5875	0.8502
5950	0.5560	0.4276	77.6121	0.0021	0.1934	0.8804	30.0756	0.6416	0.5973	0.4664	0.5969	0.1650	0.4021	79.8375	0.0011	0.0011	0.0000	50.7933	-0.4821	-0.5674	-0.5605	-0.3153	-0.0079	-0.3883	0.5136	0.8093	0.5807	0.8544	0.6074	0.8664	0.4615	0.7967	0.3639	0.7115	0.6491	0.8687
6375	0.5651	0.4311	77.6367	0.0022	0.1953	0.8810	33.6048	0.6572	0.6018	0.4715	0.6005	0.1577	0.3945	79.8504	0.0010	0.0010	0.0000	53.9224	-0.4240	-0.5225	-0.5493	-0.2642	0.0189	-0.3340	0.5369	0.8233	0.5758	0.8514	0.5850	0.8626	0.4741	0.7996	0.3397	0.6930	0.6081	0.8612
6800	0.5770	0.4452	77.6537	0.0023	0.2100	0.8838	35.8989	0.6447	0.5774	0.4547	0.6038	0.1315	0.4040	79.8593	0.0009	0.0009	0.0000	56.1079	-0.4122	-0.5417	-0.5474	-0.2439	-0.0081	-0.3782	0.5468	0.8264	0.5831	0.8597	0.5798	0.8554	0.4684	0.8008	0.3221	0.6698	0.5955	0.8503
7225	0.5685	0.4425	77.6708	0.0023	0.2038	0.8824	38.6176	0.6438	0.5733	0.4518	0.5868	0.1281	0.3682	79.8670	0.0009	0.0009	0.0000	59.9345	-0.3981	-0.4922	-0.5267	-0.2524	-0.0102	-0.3433	0.5384	0.8230	0.5958	0.8605	0.5863	0.8611	0.4370	0.7886	0.3176	0.6548	0.5911	0.8498
