batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.7585	0.6190	77.3531	0.0017	0.1597	0.9457	43.6594	0.7809	0.7194	0.5921	0.7469	0.4903	0.5413	79.7592	0.0016	0.0016	0.6129	88.3690	-0.5403	-0.6230	-0.6195	-0.4626	0.2246	-0.3414	0.6857	0.8823	0.7287	0.9036	0.7451	0.9109	0.6366	0.8726	0.2594	0.6199	0.5313	0.8532
850	0.7267	0.6056	77.3575	0.0016	0.1723	0.8966	33.1278	0.7365	0.6995	0.5995	0.7110	0.4266	0.5311	79.7149	0.0019	0.0019	0.1089	66.8185	-0.7216	-0.8064	-0.7827	-0.6246	0.2013	-0.3899	0.5808	0.8355	0.6290	0.8631	0.6484	0.8790	0.5291	0.8229	0.2608	0.6337	0.4648	0.8120
1275	0.7582	0.6205	77.3111	0.0014	0.1579	0.8952	30.3628	0.7258	0.6888	0.5675	0.6985	0.4478	0.5020	79.7018	0.0020	0.0020	0.1704	68.7601	-0.6931	-0.7883	-0.7483	-0.5722	0.2013	-0.3133	0.6171	0.8580	0.6678	0.8776	0.6784	0.8864	0.5736	0.8514	0.2566	0.6289	0.4631	0.8182
1700	0.7855	0.6281	77.3087	0.0016	0.1608	0.9077	36.2977	0.7501	0.7156	0.6098	0.7245	0.5038	0.5786	79.7407	0.0017	0.0017	0.2964	77.3639	-0.7143	-0.8052	-0.7937	-0.5987	0.2330	-0.4477	0.6908	0.8881	0.7190	0.8997	0.7164	0.9037	0.6295	0.8761	0.2783	0.6670	0.5687	0.8585
2125	0.7784	0.6273	77.3362	0.0017	0.1701	0.9187	47.4773	0.7650	0.7337	0.6397	0.7388	0.5220	0.5948	79.7619	0.0016	0.0016	0.5675	85.5060	-0.6866	-0.7813	-0.7678	-0.5695	0.2106	-0.4939	0.6995	0.8901	0.7324	0.9062	0.7391	0.9122	0.6550	0.8813	0.2767	0.6676	0.6437	0.8761
2550	0.7821	0.6408	77.3981	0.0020	0.2007	0.9597	65.8693	0.7685	0.7290	0.6478	0.7462	0.4888	0.5915	79.8017	0.0013	0.0013	0.8690	95.1835	-0.6733	-0.7696	-0.7513	-0.5404	0.2949	-0.4305	0.7031	0.8984	0.7334	0.9133	0.7409	0.9176	0.6362	0.8830	0.2643	0.6371	0.6278	0.8797
2975	0.7767	0.6258	77.5317	0.0027	0.2643	0.9972	93.2662	0.7621	0.7041	0.6246	0.7285	0.3607	0.5597	79.8497	0.0010	0.0010	0.9990	107.9869	-0.6309	-0.7344	-0.7187	-0.4966	0.3244	-0.4056	0.7005	0.9013	0.7296	0.9118	0.7212	0.9145	0.6582	0.8876	0.2235	0.5475	0.6204	0.8750
3400	0.7804	0.6173	77.6997	0.0037	0.3476	0.9991	112.9761	0.7610	0.6737	0.5903	0.7184	0.2148	0.5498	79.9077	0.0006	0.0006	1.0000	119.8931	-0.5741	-0.6930	-0.6660	-0.4263	0.2456	-0.3918	0.7084	0.9026	0.7346	0.9161	0.7314	0.9145	0.6475	0.8907	0.1980	0.4853	0.6514	0.8788
3825	0.7631	0.6316	77.8861	0.0046	0.4403	0.9994	129.3534	0.7119	0.5738	0.4743	0.6421	0.0084	0.4060	79.9666	0.0002	0.0002	1.0000	131.0151	-0.4646	-0.5452	-0.5302	-0.2893	0.0767	-0.2244	0.7087	0.9047	0.7011	0.8991	0.6483	0.8827	0.6077	0.8801	0.1772	0.4236	0.5021	0.8042
4250	0.6790	0.5580	77.9411	0.0044	0.3697	1.0000	138.0614	0.6492	0.4837	0.4368	0.5470	0.1585	0.3270	79.9852	0.0001	0.0001	1.0000	138.9748	-0.3058	-0.3665	-0.4038	-0.0775	0.0163	-0.1077	0.6039	0.8666	0.6015	0.8554	0.5874	0.8426	0.4826	0.8204	0.3164	0.6617	0.4363	0.7646
4675	0.5858	0.4765	77.9492	0.0038	0.3146	0.9997	140.0080	0.5981	0.3734	0.3497	0.4453	0.2217	0.2859	79.9888	0.0001	0.0001	1.0000	140.5030	-0.0603	-0.1317	-0.0877	-0.0002	-0.1330	-0.1271	0.5714	0.8470	0.5293	0.8043	0.4791	0.7702	0.4394	0.7893	0.4120	0.7430	0.4431	0.7673
5100	0.4770	0.3829	77.9521	0.0031	0.2734	1.0000	141.1131	0.5216	0.2599	0.2834	0.3290	0.2377	0.2574	79.9901	0.0001	0.0001	1.0000	141.2308	-0.2093	-0.3368	-0.2359	-0.0571	-0.2925	-0.2743	0.4902	0.8004	0.3517	0.6793	0.3956	0.7104	0.3637	0.7062	0.3606	0.6824	0.3511	0.6846
5525	0.3659	0.2858	77.9530	0.0024	0.2110	1.0000	141.3301	0.4707	0.2612	0.2534	0.2808	0.3053	0.3208	79.9906	0.0001	0.0001	1.0000	141.4859	-0.2492	-0.2769	-0.1429	-0.1205	-0.2375	-0.2439	0.4342	0.7591	0.3534	0.6490	0.3619	0.6688	0.3494	0.6777	0.3994	0.7151	0.3888	0.7116
5950	0.3259	0.2550	77.9522	0.0021	0.1813	0.9997	140.4858	0.5081	0.2647	0.2486	0.1922	0.3544	0.3683	79.9901	0.0001	0.0001	1.0000	140.9667	-0.3194	-0.3976	-0.3403	-0.0963	-0.2617	-0.2718	0.5304	0.8054	0.4347	0.7397	0.4325	0.7382	0.3690	0.6918	0.5321	0.8035	0.5239	0.7943
6375	0.2892	0.2103	77.9515	0.0018	0.1432	1.0000	139.2847	0.4839	0.2987	0.2800	0.1802	0.3849	0.3858	79.9892	0.0001	0.0001	1.0000	139.8659	-0.3084	-0.4053	-0.4312	-0.0180	-0.1961	-0.1930	0.4718	0.7405	0.4008	0.6691	0.4046	0.6861	0.3449	0.6590	0.5193	0.7885	0.5151	0.7780
6800	0.2437	0.1768	77.9503	0.0015	0.1245	1.0000	137.4582	0.4477	0.3012	0.2719	0.1758	0.3612	0.3597	79.9881	0.0001	0.0001	1.0000	138.3034	-0.2975	-0.3837	-0.4445	-0.0439	-0.3068	-0.2947	0.4314	0.7028	0.3872	0.6194	0.3767	0.6355	0.3299	0.6460	0.5124	0.7648	0.5134	0.7639
7225	0.2014	0.1325	77.9498	0.0013	0.1063	0.9997	136.5702	0.4289	0.3112	0.2958	0.1753	0.3789	0.3706	79.9876	0.0001	0.0001	1.0000	137.4698	-0.2351	-0.3289	-0.4021	-0.0895	-0.2688	-0.2238	0.4145	0.6824	0.3549	0.5846	0.3694	0.6171	0.3225	0.6308	0.5019	0.7568	0.4927	0.7567
