batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.4487	0.2064	6.8146	0.0259	0.1546	1.0000	16.0000	0.1888	0.0838	-0.1214	0.1482	-0.0539	-0.1702	0.1008	-0.1041	-0.1579	0.1912	0.0623	-0.1193	6.8273	0.0248	0.1382	1.0000	16.0000	0.1471	0.0673	-0.0935	0.1131	0.0093	-0.1111	0.0671	-0.0328	-0.0940	0.1422	0.0499	-0.1081	0.6499	0.5438	0.6361	0.5304	0.5728	0.4823	0.6575	0.5450
762	0.4905	0.2565	6.8105	0.0269	0.1700	1.0000	16.0000	0.2292	0.0825	-0.1812	0.1950	-0.0277	-0.2350	0.1382	-0.1044	-0.1851	0.2260	0.0293	-0.2078	6.8237	0.0252	0.1579	1.0000	16.0000	0.1670	0.0350	-0.1668	0.1410	-0.0184	-0.2045	0.0968	-0.0638	-0.1583	0.1636	0.0030	-0.1782	0.6571	0.5615	0.6446	0.5464	0.6004	0.5186	0.6526	0.5599
1143	0.5192	0.2831	6.8070	0.0281	0.1770	1.0000	16.0000	0.2401	0.0814	-0.2067	0.2124	-0.0194	-0.2620	0.1667	-0.0836	-0.1975	0.2291	0.0580	-0.2159	6.8205	0.0265	0.1743	1.0000	16.0000	0.1734	0.0640	-0.1827	0.1470	-0.0543	-0.2324	0.1077	-0.0689	-0.1970	0.1639	0.0437	-0.1896	0.6443	0.5586	0.6435	0.5519	0.6214	0.5488	0.6450	0.5678
1524	0.5467	0.3128	6.8033	0.0296	0.1967	1.0000	16.0000	0.2545	0.0879	-0.2046	0.2215	0.0116	-0.2761	0.1789	-0.0498	-0.2161	0.2501	0.0244	-0.2426	6.8167	0.0279	0.2045	1.0000	16.0000	0.1804	0.0941	-0.1764	0.1544	-0.0261	-0.2400	0.1192	-0.0455	-0.2087	0.1761	0.0125	-0.2112	0.6319	0.5447	0.6300	0.5431	0.6345	0.5539	0.6451	0.5634
1905	0.5704	0.3469	6.8020	0.0306	0.2061	1.0000	16.0000	0.2674	0.0705	-0.2539	0.2316	-0.0098	-0.3051	0.1845	-0.0595	-0.2390	0.2391	0.0227	-0.2410	6.8157	0.0289	0.2117	1.0000	16.0000	0.1874	0.0673	-0.2246	0.1595	-0.0301	-0.2674	0.1232	-0.0729	-0.2357	0.1680	0.0008	-0.2222	0.6434	0.5638	0.6359	0.5575	0.6423	0.5680	0.6745	0.6059
2286	0.5944	0.3892	6.7996	0.0320	0.2241	1.0000	16.0000	0.2719	0.0353	-0.2877	0.2382	-0.0371	-0.3302	0.1906	-0.0634	-0.2698	0.2549	0.0282	-0.2702	6.8135	0.0301	0.2156	1.0000	16.0000	0.1877	0.0294	-0.2637	0.1635	-0.0638	-0.3024	0.1251	-0.1060	-0.2674	0.1788	0.0287	-0.2433	0.6468	0.5744	0.6408	0.5639	0.6466	0.5690	0.6501	0.5841
2667	0.6156	0.4106	6.7966	0.0328	0.2306	1.0000	16.0000	0.2767	0.0173	-0.3121	0.2446	-0.0625	-0.3605	0.1909	-0.0889	-0.3064	0.2619	0.0208	-0.2876	6.8106	0.0311	0.2229	1.0000	16.0000	0.1879	0.0015	-0.2782	0.1608	-0.1001	-0.3443	0.1184	-0.1292	-0.3187	0.1669	-0.1304	-0.2983	0.6502	0.5721	0.6459	0.5710	0.6558	0.5798	0.7087	0.6362
3048	0.6308	0.4325	6.7947	0.0337	0.2481	1.0000	16.0000	0.2851	-0.0266	-0.3589	0.2528	-0.0692	-0.3883	0.1948	-0.0942	-0.3225	0.2723	0.0612	-0.2975	6.8090	0.0317	0.2362	1.0000	16.0000	0.1927	-0.0666	-0.3347	0.1692	-0.1143	-0.3672	0.1213	-0.1321	-0.3233	0.1875	-0.0182	-0.3099	0.6532	0.5842	0.6469	0.5738	0.6569	0.5808	0.6733	0.6110
3429	0.6494	0.4501	6.7923	0.0346	0.2481	1.0000	16.0000	0.2914	0.0045	-0.3598	0.2560	-0.0729	-0.3982	0.1940	-0.0856	-0.3290	0.2788	0.1087	-0.2595	6.8065	0.0329	0.2416	1.0000	16.0000	0.2006	-0.0311	-0.3245	0.1749	-0.1035	-0.3661	0.1232	-0.1295	-0.3186	0.1875	-0.0465	-0.3151	0.6555	0.5773	0.6525	0.5765	0.6638	0.5840	0.7093	0.6447
3810	0.6621	0.4703	6.7894	0.0353	0.2604	1.0000	16.0000	0.3061	0.0234	-0.3368	0.2749	-0.0543	-0.3953	0.1969	-0.0839	-0.3174	0.2916	0.0439	-0.2804	6.8038	0.0334	0.2609	1.0000	16.0000	0.2174	-0.0292	-0.3130	0.1931	-0.1196	-0.3733	0.1270	-0.1539	-0.3176	0.2054	-0.0721	-0.3128	0.6687	0.5932	0.6732	0.5976	0.6866	0.6036	0.7134	0.6461
