batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_seq	id_variance_kendalls_tau_seq	id_mutual_information_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_seq	ood_variance_kendalls_tau_seq	ood_mutual_information_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap	aupr_variance	auroc_variance	aupr_mutual_information	auroc_mutual_information
425	0.7384	0.6140	77.3860	0.0019	0.1840	0.9276	49.2219	0.7419	0.6744	0.5543	0.7069	0.4047	0.4836	79.7548	0.0016	0.0016	0.4597	87.0333	-0.5830	-0.6406	-0.6107	-0.4876	0.1838	-0.3219	0.6734	0.8724	0.6842	0.8891	0.6854	0.8894	0.6261	0.8615	0.2362	0.5753	0.4777	0.8133
850	0.7111	0.5782	77.3410	0.0016	0.1611	0.8886	31.2077	0.7359	0.6962	0.5721	0.7110	0.4659	0.5275	79.7362	0.0017	0.0017	0.1512	67.9990	-0.6470	-0.7613	-0.7378	-0.5141	0.1822	-0.3348	0.6323	0.8702	0.6739	0.8912	0.6691	0.8871	0.5629	0.8580	0.2494	0.6159	0.4819	0.8230
1275	0.7497	0.5948	77.2787	0.0013	0.1488	0.8918	26.0307	0.7531	0.7246	0.6109	0.7371	0.5356	0.5763	79.7124	0.0019	0.0019	0.2117	68.0726	-0.6850	-0.7880	-0.7603	-0.5546	0.2224	-0.3794	0.6739	0.8822	0.7067	0.9009	0.7086	0.9082	0.6300	0.8736	0.3086	0.7002	0.5762	0.8669
1700	0.7710	0.6122	77.2909	0.0014	0.1544	0.9071	34.8085	0.7470	0.7220	0.6328	0.7314	0.5312	0.5901	79.7375	0.0017	0.0017	0.2530	76.0806	-0.7148	-0.8023	-0.7807	-0.5955	0.3039	-0.3281	0.6669	0.8860	0.6877	0.8994	0.6861	0.9027	0.6373	0.8751	0.2678	0.6544	0.5418	0.8534
2125	0.7614	0.6070	77.3729	0.0018	0.1858	0.9244	53.2935	0.7428	0.7215	0.6577	0.7278	0.4645	0.5861	79.7734	0.0015	0.0015	0.7712	85.5413	-0.6591	-0.7725	-0.7498	-0.5422	0.2454	-0.3915	0.6360	0.8815	0.6706	0.8954	0.6605	0.8979	0.5994	0.8703	0.2355	0.5922	0.5217	0.8422
2550	0.7727	0.6268	77.4338	0.0022	0.2169	0.9705	72.7403	0.7481	0.7160	0.6467	0.7235	0.4196	0.5867	79.8233	0.0012	0.0012	0.9486	98.4526	-0.6467	-0.7539	-0.7547	-0.5089	0.3254	-0.3819	0.6898	0.8989	0.7205	0.9112	0.7040	0.9124	0.6360	0.8868	0.2206	0.5567	0.5541	0.8567
2975	0.7688	0.6274	77.6405	0.0032	0.3170	0.9991	106.7398	0.7446	0.6846	0.6077	0.7160	0.1815	0.5107	79.8886	0.0007	0.0007	1.0000	115.6734	-0.5933	-0.6885	-0.6902	-0.4676	0.3780	-0.3067	0.6953	0.8995	0.7241	0.9117	0.7080	0.9117	0.6071	0.8802	0.1780	0.4237	0.5193	0.8403
3400	0.6139	0.5440	77.9241	0.0038	0.3296	0.9997	132.3031	0.5913	0.4716	0.3926	0.5319	-0.1940	0.1869	79.9754	0.0002	0.0002	1.0000	133.4355	-0.2267	-0.2521	-0.2486	-0.1033	0.0958	-0.0276	0.4980	0.8059	0.4713	0.7914	0.4544	0.7714	0.3965	0.7631	0.1654	0.3785	0.2694	0.6144
3825	0.6520	0.5418	77.9397	0.0042	0.3462	0.9997	137.2452	0.6162	0.4178	0.3720	0.5279	0.1340	0.2603	79.9839	0.0001	0.0001	1.0000	138.2308	-0.3026	-0.4180	-0.4377	-0.1492	-0.1018	-0.1727	0.6024	0.8481	0.5542	0.8189	0.5175	0.7926	0.4903	0.8089	0.3203	0.6687	0.4292	0.7467
4250	0.1435	0.0953	77.9503	0.0010	0.0823	0.9997	139.7312	0.3265	0.3243	0.3077	0.2002	0.2580	0.2787	79.9885	0.0001	0.0001	1.0000	140.2177	-0.1880	-0.3291	-0.2534	-0.0138	-0.1382	-0.1307	0.4039	0.7148	0.4125	0.7199	0.4082	0.7174	0.3023	0.6423	0.3280	0.6545	0.3270	0.6705
4675	0.1594	0.1095	77.9508	0.0011	0.0900	0.9997	139.2207	0.3621	0.2947	0.2756	0.1768	0.2725	0.2828	79.9887	0.0001	0.0001	1.0000	139.5927	-0.1615	-0.2134	-0.2110	-0.1046	-0.1499	-0.1731	0.3954	0.7185	0.3788	0.6905	0.3738	0.6843	0.3039	0.6286	0.3678	0.6853	0.3580	0.6833
