	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 0 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0022 0.0537 0.0046 0.1120 0.1038 0.0012 0.0000 0.0056 0.1403 0.0116 0.0024 0.2196 0.0001 0.0063 0.1864 0.3184 0.2709 0.0007 0.0001 0.0000 0.0004 0.3462 0.0919 0.0025 0.0130 0.0194 0.0001 0.0000 0.0011 0.0001 0.0000 0.0000 0.0043 0.0001 0.0000	0.0180 0.2339 0.0380 0.5695 0.5118 0.0123 0.0006 0.0387 0.4161 0.0684 0.0192 0.7567 0.0015 0.0382 0.4828 0.6314 0.6607 0.0072 0.0009 0.0000 0.0036 0.8097 0.3733 0.0189 0.0714 0.0989 0.0014 0.0000 0.0100 0.0015 0.0001 0.0000 0.0363 0.0014 0.0005	0.0001 0.0006 0.0008 0.0408 0.0343 0.0009 0.0000 0.0007 0.0018 0.0005 0.0003 0.0084 0.0000 0.0000 0.0002 0.0005 0.0028 0.0004 0.0001 0.0000 0.0000 0.0052 0.0074 0.0002 0.0002 0.0002 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0015 0.0001 0.0000	0.0024 0.0607 0.0055 0.1348 0.1238 0.0015 0.0001 0.0058 0.1352 0.0111 0.0023 0.2155 0.0001 0.0062 0.1855 0.3178 0.2707 0.0008 0.0001 0.0000 0.0004 0.3453 0.0945 0.0026 0.0129 0.0194 0.0001 0.0000 0.0015 0.0002 0.0000 0.0000 0.0053 0.0002 0.0000
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 6 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0610 0.0638 0.0019 0.0000 0.0005 0.3753 0.1137 0.1183 0.0073 0.3996 0.0034 0.0005 0.0030 0.0000 0.0435 0.0019 0.0039 0.0136 0.0320 0.0385 0.0392 0.0443 0.0452 0.0380 0.0287 0.0223 0.0193 0.0186 0.0190 0.0196 0.0198 0.0195 0.0192 0.0190 0.0191	0.3014 0.3070 0.0174 0.0000 0.0050 0.9198 0.4271 0.4784 0.0459 0.6872 0.0230 0.0043 0.0258 0.0001 0.2644 0.0168 0.0294 0.0811 0.1632 0.1995 0.2118 0.2299 0.2281 0.1974 0.1590 0.1315 0.1186 0.1167 0.1203 0.1241 0.1254 0.1243 0.1224 0.1213 0.1215	0.0032 0.0079 0.0009 0.0000 0.0000 0.0086 0.0075 0.0160 0.0002 0.0010 0.0000 0.0000 0.0008 0.0000 0.0120 0.0008 0.0006 0.0007 0.0011 0.0017 0.0022 0.0025 0.0023 0.0019 0.0016 0.0014 0.0014 0.0015 0.0016 0.0018 0.0019 0.0019 0.0019 0.0019 0.0018	0.0668 0.0712 0.0023 0.0000 0.0005 0.3836 0.1191 0.1241 0.0074 0.3980 0.0034 0.0005 0.0033 0.0000 0.0582 0.0026 0.0042 0.0138 0.0324 0.0391 0.0399 0.0450 0.0460 0.0388 0.0295 0.0232 0.0205 0.0202 0.0210 0.0218 0.0219 0.0216 0.0211 0.0207 0.0207
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 0 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0497 0.0084 0.0014 0.0004 0.0002 0.0001 0.0006 0.0001 0.0000 0.0000 0.0024 0.0009 0.2348 0.0028 0.0303 0.0006 0.0119 0.0000 0.0000 0.0000 0.0004 0.0003 0.0026 0.0000 0.0116 0.0001 0.0002 0.0008 0.0024 0.0041 0.0059 0.0080 0.0096 0.0104 0.0107	0.2432 0.0602 0.0126 0.0040 0.0026 0.0015 0.0049 0.0010 0.0003 0.0002 0.0191 0.0090 0.7423 0.0230 0.1562 0.0055 0.0702 0.0001 -0.0000 0.0004 0.0041 0.0037 0.0237 0.0001 0.0835 0.0014 0.0022 0.0076 0.0194 0.0313 0.0431 0.0560 0.0658 0.0705 0.0726	0.0017 0.0013 0.0004 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0002 0.0200 0.0006 0.0026 0.0001 0.0008 0.0000 0.0000 0.0000 0.0001 0.0002 0.0020 0.0000 0.0040 0.0001 0.0000 0.0001 0.0001 0.0002 0.0004 0.0005 0.0005 0.0006 0.0007	0.0515 0.0091 0.0017 0.0004 0.0003 0.0001 0.0006 0.0001 0.0000 0.0000 0.0029 0.0012 0.2412 0.0037 0.0318 0.0006 0.0121 0.0000 0.0000 0.0000 0.0004 0.0004 0.0031 0.0000 0.0140 0.0002 0.0002 0.0008 0.0024 0.0042 0.0060 0.0081 0.0098 0.0107 0.0110
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 0 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0672 0.0001 0.0170 0.0017 0.0002 0.0004 0.0001 0.0000 0.0004 0.0114 0.0933 0.0002 0.0014 0.0006 0.4701 0.0000 0.0011 0.0005 0.0001 0.0031 0.0002 0.0000 0.0006 0.0000 0.0032 0.0001 0.0004 0.0020 0.0075 0.0237 0.0577 0.0846 0.0763 0.0510 0.0328	0.3174 0.0015 0.1007 0.0135 0.0022 0.0038 0.0011 0.0000 0.0036 0.0660 0.3530 0.0025 0.0121 0.0051 0.7666 0.0001 0.0089 0.0045 0.0013 0.0255 0.0024 0.0001 0.0064 0.0001 0.0262 0.0010 0.0036 0.0156 0.0495 0.1226 0.2370 0.3131 0.2976 0.2303 0.1724	0.0027 0.0000 0.0014 0.0003 0.0001 0.0000 0.0000 0.0000 0.0001 0.0004 0.0056 0.0001 0.0004 0.0001 0.0083 0.0000 0.0001 0.0001 0.0001 0.0008 0.0001 0.0000 0.0002 0.0000 0.0009 0.0000 0.0000 0.0000 0.0001 0.0002 0.0005 0.0009 0.0012 0.0014 0.0014	0.0717 0.0002 0.0179 0.0018 0.0002 0.0004 0.0001 0.0000 0.0004 0.0115 0.0954 0.0003 0.0015 0.0006 0.4718 0.0000 0.0011 0.0005 0.0001 0.0035 0.0002 0.0000 0.0008 0.0000 0.0034 0.0001 0.0004 0.0020 0.0075 0.0238 0.0578 0.0849 0.0768 0.0516 0.0336
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0676 0.0213 0.0133 0.0902 0.3038 0.0299 0.0024 0.0072 0.0458 0.0003 0.0003 0.0146 0.0095 0.0008 0.1593 0.0000 0.0009 0.0008 0.0000 0.0002 0.0000 0.0000 0.0000 0.0694 0.0036 0.0060 0.0125 0.0245 0.0393 0.0637 0.0920 0.0892 0.0614 0.0379 0.0259	0.3113 0.1367 0.0915 0.3898 1.2695 0.2028 0.0232 0.0528 0.2637 0.0028 0.0034 0.1039 0.0725 0.0077 0.5519 0.0002 0.0090 0.0077 0.0000 0.0019 0.0002 -0.0000 0.0000 0.2671 0.0246 0.0376 0.0691 0.1230 0.1940 0.3005 0.3918 0.3786 0.2886 0.2017 0.1513	0.0027 0.0045 0.0049 0.0158 0.1226 0.0181 0.0023 0.0026 0.0165 0.0002 0.0001 0.0057 0.0048 0.0003 0.0081 0.0000 0.0003 0.0005 0.0000 0.0000 0.0000 0.0000 0.0000 0.0011 0.0001 0.0001 0.0001 0.0002 0.0007 0.0015 0.0025 0.0028 0.0025 0.0020 0.0017	0.0720 0.0229 0.0146 0.0948 0.3589 0.0364 0.0030 0.0075 0.0475 0.0003 0.0004 0.0158 0.0100 0.0008 0.1600 0.0000 0.0010 0.0009 0.0000 0.0002 0.0000 0.0000 0.0000 0.0702 0.0037 0.0061 0.0125 0.0246 0.0394 0.0640 0.0925 0.0900 0.0623 0.0388 0.0270
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0454 0.0001 0.0137 0.0045 0.0000 0.0000 0.0061 0.0002 0.0002 0.0000 0.0000 0.0000 0.0000 0.0095 0.0005 0.0000 0.0025 0.0028 0.0000 0.0000 0.0007 0.0003 0.0002 0.0001 0.0000 0.0000 0.0700 0.0012 0.0015 0.0028 0.0091 0.0169 0.0193 0.0172 0.0154	0.2285 0.0011 0.0847 0.0342 0.0003 0.0001 0.0441 0.0019 0.0024 0.0001 0.0001 0.0001 0.0001 0.0573 0.0043 0.0003 0.0195 0.0218 0.0000 0.0001 0.0063 0.0033 0.0022 0.0011 0.0001 0.0000 0.2561 0.0094 0.0120 0.0218 0.0587 0.0980 0.1110 0.1032 0.0961	0.0019 0.0000 0.0016 0.0012 0.0000 0.0000 0.0004 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0001 0.0002 0.0000 0.0000 0.0000 0.0001 0.0001 0.0001 0.0000 0.0000 0.0002 0.0000 0.0001 0.0001 0.0002 0.0004 0.0006 0.0007 0.0009	0.0478 0.0001 0.0139 0.0047 0.0000 0.0000 0.0069 0.0002 0.0002 0.0000 0.0000 0.0000 0.0000 0.0095 0.0005 0.0000 0.0026 0.0029 0.0000 0.0000 0.0007 0.0003 0.0002 0.0001 0.0000 0.0000 0.0698 0.0012 0.0015 0.0028 0.0092 0.0169 0.0194 0.0175 0.0158
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0632 0.6120 0.0018 0.0358 0.0051 0.0005 0.0317 0.0008 0.0011 0.0002 0.0004 0.0001 0.0000 0.0000 0.0247 0.0009 0.0034 0.0108 0.0371 0.0563 0.0471 0.0313 0.0237 0.0221 0.0230 0.0240 0.0242 0.0236 0.0228 0.0219 0.0212 0.0207 0.0205 0.0204 0.0205	0.3095 1.5715 0.0170 0.2340 0.0409 0.0047 0.1894 0.0072 0.0098 0.0021 0.0039 0.0008 0.0002 0.0000 0.1298 0.0078 0.0270 0.0697 0.1800 0.2429 0.2113 0.1558 0.1280 0.1247 0.1324 0.1404 0.1439 0.1431 0.1401 0.1362 0.1325 0.1301 0.1290 0.1289 0.1291	0.0033 0.0877 0.0014 0.0189 0.0021 0.0002 0.0045 0.0001 0.0001 0.0000 0.0001 0.0000 0.0000 0.0000 0.0005 0.0001 0.0002 0.0005 0.0008 0.0009 0.0008 0.0007 0.0007 0.0009 0.0011 0.0014 0.0016 0.0018 0.0020 0.0020 0.0020 0.0020 0.0020 0.0019 0.0019	0.0691 0.6652 0.0022 0.0392 0.0056 0.0005 0.0330 0.0008 0.0011 0.0002 0.0004 0.0001 0.0000 0.0000 0.0248 0.0009 0.0035 0.0109 0.0373 0.0564 0.0471 0.0315 0.0240 0.0226 0.0238 0.0254 0.0260 0.0259 0.0252 0.0243 0.0233 0.0226 0.0222 0.0222 0.0222
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0617 0.1255 0.0008 0.0049 0.0014 0.0046 0.0473 0.0008 0.3976 0.0027 0.0035 0.0095 0.0222 0.0309 0.0337 0.0368 0.0399 0.0394 0.0353 0.0310 0.0284 0.0270 0.0258 0.0245 0.0231 0.0221 0.0215 0.0213 0.0213 0.0212 0.0211 0.0209 0.0207 0.0205 0.0204	0.3074 0.4241 0.0074 0.0359 0.0122 0.0323 0.2259 0.0065 0.9880 0.0224 0.0271 0.0642 0.1296 0.1706 0.1844 0.1983 0.2121 0.2112 0.1949 0.1770 0.1658 0.1598 0.1546 0.1483 0.1419 0.1370 0.1342 0.1332 0.1330 0.1329 0.1323 0.1313 0.1302 0.1294 0.1288	0.0033 0.0053 0.0003 0.0005 0.0001 0.0001 0.0004 0.0000 0.0069 0.0004 0.0004 0.0007 0.0011 0.0014 0.0016 0.0017 0.0018 0.0019 0.0019 0.0020 0.0021 0.0022 0.0022 0.0021 0.0021 0.0020 0.0020 0.0020 0.0020 0.0020 0.0020 0.0020 0.0019 0.0019 0.0019	0.0683 0.1284 0.0008 0.0049 0.0014 0.0046 0.0474 0.0008 0.3991 0.0028 0.0038 0.0108 0.0236 0.0317 0.0342 0.0372 0.0403 0.0400 0.0363 0.0325 0.0306 0.0298 0.0288 0.0274 0.0257 0.0244 0.0236 0.0232 0.0231 0.0230 0.0229 0.0227 0.0225 0.0224 0.0223
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0632 0.1313 0.0003 0.0413 0.0005 0.0004 0.0085 0.0000 0.0007 0.0001 0.0019 0.0004 0.0000 0.0008 0.0000 0.0001 0.0017 0.0131 0.0416 0.0624 0.0632 0.0518 0.0395 0.0313 0.0268 0.0247 0.0240 0.0238 0.0236 0.0229 0.0220 0.0211 0.0205 0.0203 0.0203	0.3130 0.4402 0.0030 0.2084 0.0046 0.0040 0.0605 0.0006 0.0071 0.0011 0.0171 0.0046 0.0000 0.0075 0.0002 0.0013 0.0135 0.0796 0.2023 0.2720 0.2731 0.2396 0.2012 0.1728 0.1560 0.1482 0.1461 0.1464 0.1457 0.1426 0.1379 0.1333 0.1301 0.1286 0.1285	0.0034 0.0054 0.0001 0.0044 0.0001 0.0001 0.0014 0.0000 0.0002 0.0001 0.0008 0.0003 0.0000 0.0002 0.0000 0.0000 0.0001 0.0003 0.0010 0.0017 0.0019 0.0019 0.0018 0.0017 0.0018 0.0019 0.0021 0.0022 0.0023 0.0024 0.0023 0.0022 0.0021 0.0021 0.0020	0.0699 0.1366 0.0003 0.0419 0.0005 0.0004 0.0088 0.0001 0.0008 0.0001 0.0021 0.0005 0.0000 0.0010 0.0000 0.0001 0.0017 0.0132 0.0419 0.0629 0.0637 0.0524 0.0401 0.0320 0.0276 0.0258 0.0255 0.0257 0.0258 0.0252 0.0242 0.0232 0.0225 0.0221 0.0221
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.0623 0.0236 0.0261 0.0013 0.0019 0.0000 0.0287 0.0003 0.0018 0.0062 0.0121 0.0121 0.0105 0.0110 0.0129 0.0145 0.0152 0.0154 0.0156 0.0162 0.0170 0.0175 0.0177 0.0177 0.0177 0.0179 0.0183 0.0188 0.0193 0.0198 0.0201 0.0203 0.0204 0.0205 0.0205	0.3092 0.1460 0.1753 0.0120 0.0172 0.0001 0.1731 0.0032 0.0145 0.0407 0.0723 0.0762 0.0710 0.0746 0.0848 0.0939 0.0983 0.0997 0.1017 0.1057 0.1106 0.1141 0.1154 0.1152 0.1150 0.1158 0.1176 0.1202 0.1230 0.1254 0.1271 0.1282 0.1288 0.1290 0.1291	0.0033 0.0046 0.0124 0.0007 0.0009 0.0000 0.0040 0.0001 0.0001 0.0002 0.0004 0.0007 0.0009 0.0010 0.0010 0.0010 0.0011 0.0012 0.0013 0.0014 0.0016 0.0017 0.0018 0.0018 0.0018 0.0018 0.0018 0.0018 0.0018 0.0019 0.0019 0.0019 0.0019 0.0019 0.0019	0.0689 0.0246 0.0276 0.0013 0.0020 0.0000 0.0293 0.0003 0.0019 0.0063 0.0125 0.0129 0.0114 0.0119 0.0136 0.0152 0.0159 0.0161 0.0166 0.0175 0.0187 0.0196 0.0199 0.0198 0.0197 0.0198 0.0201 0.0206 0.0211 0.0216 0.0220 0.0222 0.0223 0.0224 0.0224
