batch_num	val_accuracy	val_macro_f1_scores	id_ece	id_sce	id_ace	id_coverage_percentage	id_coverage_width	id_max_prob_kendalls_tau_token	id_max_prob_kendalls_tau_max_seq	id_max_prob_kendalls_tau_seq	id_predictive_entropy_kendalls_tau_token	id_predictive_entropy_kendalls_tau_max_seq	id_predictive_entropy_kendalls_tau_seq	id_dempster_shafer_kendalls_tau_token	id_dempster_shafer_kendalls_tau_max_seq	id_dempster_shafer_kendalls_tau_seq	id_softmax_gap_kendalls_tau_token	id_softmax_gap_kendalls_tau_max_seq	id_softmax_gap_kendalls_tau_seq	ood_ece	ood_sce	ood_ace	ood_coverage_percentage	ood_coverage_width	ood_max_prob_kendalls_tau_token	ood_max_prob_kendalls_tau_max_seq	ood_max_prob_kendalls_tau_seq	ood_predictive_entropy_kendalls_tau_token	ood_predictive_entropy_kendalls_tau_max_seq	ood_predictive_entropy_kendalls_tau_seq	ood_dempster_shafer_kendalls_tau_token	ood_dempster_shafer_kendalls_tau_max_seq	ood_dempster_shafer_kendalls_tau_seq	ood_softmax_gap_kendalls_tau_token	ood_softmax_gap_kendalls_tau_max_seq	ood_softmax_gap_kendalls_tau_seq	aupr_max_prob	auroc_max_prob	aupr_predictive_entropy	auroc_predictive_entropy	aupr_dempster_shafer	auroc_dempster_shafer	aupr_softmax_gap	auroc_softmax_gap
381	0.4497	0.2055	6.8140	0.0262	0.1659	1.0000	16.0000	0.1812	0.0800	-0.1118	0.1499	-0.0290	-0.1517	0.1013	-0.0872	-0.1182	0.1800	0.0785	-0.0942	6.8265	0.0252	0.1593	1.0000	16.0000	0.1384	0.0614	-0.0774	0.1063	-0.0073	-0.1166	0.0659	-0.0471	-0.1169	0.1369	0.0331	-0.0835	0.6444	0.5324	0.6249	0.5133	0.5524	0.4446	0.6380	0.5222
762	0.4870	0.2547	6.8100	0.0266	0.1728	1.0000	16.0000	0.2281	0.0823	-0.1780	0.1907	-0.0264	-0.2273	0.1423	-0.1097	-0.1766	0.2168	0.0531	-0.1952	6.8232	0.0251	0.1578	1.0000	16.0000	0.1749	0.1265	-0.1400	0.1458	0.0188	-0.1755	0.0976	-0.0414	-0.1422	0.1677	0.1209	-0.1554	0.6590	0.5612	0.6475	0.5456	0.5922	0.4982	0.6686	0.5745
1143	0.5179	0.2884	6.8069	0.0280	0.1883	1.0000	16.0000	0.2413	0.0696	-0.2135	0.2087	-0.0198	-0.2587	0.1659	-0.0623	-0.1900	0.2290	0.0067	-0.2388	6.8204	0.0258	0.1744	1.0000	16.0000	0.1808	0.0943	-0.1740	0.1584	0.0252	-0.2039	0.1189	-0.0009	-0.1388	0.1686	0.0808	-0.1814	0.6525	0.5685	0.6460	0.5557	0.6210	0.5358	0.6526	0.5692
1524	0.5472	0.3070	6.8023	0.0296	0.2098	1.0000	16.0000	0.2608	0.1175	-0.1891	0.2331	0.0193	-0.2621	0.1836	-0.0367	-0.1976	0.2526	0.0140	-0.2333	6.8161	0.0277	0.1973	1.0000	16.0000	0.1903	0.0962	-0.1604	0.1763	0.0047	-0.2119	0.1354	-0.0282	-0.1640	0.1815	0.0032	-0.2095	0.6488	0.5722	0.6452	0.5641	0.6494	0.5669	0.6481	0.5703
1905	0.5715	0.3511	6.8008	0.0307	0.2176	1.0000	16.0000	0.2711	0.0835	-0.2399	0.2432	0.0141	-0.2900	0.1881	-0.0486	-0.2248	0.2451	0.0078	-0.2349	6.8150	0.0286	0.2007	1.0000	16.0000	0.1888	0.0321	-0.2198	0.1825	-0.0271	-0.2530	0.1439	-0.0386	-0.1765	0.1644	-0.0230	-0.2439	0.6547	0.5900	0.6397	0.5670	0.6416	0.5613	0.7115	0.6519
2286	0.5920	0.3947	6.7995	0.0315	0.2254	1.0000	16.0000	0.2767	0.0458	-0.3006	0.2439	-0.0209	-0.3290	0.1901	-0.0776	-0.2652	0.2592	0.0616	-0.2450	6.8138	0.0292	0.1981	1.0000	16.0000	0.1906	0.0185	-0.2735	0.1850	-0.0227	-0.2774	0.1480	-0.0405	-0.1782	0.1719	-0.0136	-0.2816	0.6539	0.5897	0.6430	0.5675	0.6533	0.5668	0.7100	0.6557
2667	0.6147	0.4179	6.7970	0.0328	0.2403	1.0000	16.0000	0.2864	0.0453	-0.3211	0.2535	-0.0354	-0.3499	0.1940	-0.0839	-0.2771	0.2761	0.0557	-0.2756	6.8112	0.0307	0.2126	1.0000	16.0000	0.1927	0.0305	-0.2942	0.1899	-0.0213	-0.3044	0.1517	-0.0352	-0.2036	0.1755	-0.0191	-0.2886	0.6462	0.5831	0.6381	0.5665	0.6476	0.5685	0.7249	0.6766
3048	0.6335	0.4376	6.7941	0.0335	0.2555	1.0000	16.0000	0.2947	0.0484	-0.3250	0.2624	-0.0426	-0.3632	0.1956	-0.0975	-0.2948	0.2854	0.0399	-0.2990	6.8084	0.0315	0.2290	1.0000	16.0000	0.1978	0.0530	-0.2863	0.1868	-0.0143	-0.3196	0.1462	-0.0557	-0.2249	0.1791	-0.0594	-0.3003	0.6441	0.5829	0.6386	0.5688	0.6435	0.5601	0.7370	0.6694
3429	0.6381	0.4645	6.7943	0.0334	0.2598	1.0000	16.0000	0.2858	-0.0381	-0.4022	0.2550	-0.0795	-0.4052	0.2013	-0.1098	-0.3229	0.2813	-0.0390	-0.4002	6.8087	0.0309	0.2396	1.0000	16.0000	0.1901	-0.0082	-0.3386	0.1787	-0.0350	-0.3479	0.1481	-0.0787	-0.2504	0.1767	-0.0763	-0.3427	0.6462	0.5792	0.6378	0.5681	0.6480	0.5681	0.7028	0.6241
3810	0.6622	0.4712	6.7884	0.0350	0.2820	1.0000	16.0000	0.3063	0.0389	-0.3271	0.2779	-0.0631	-0.3813	0.2060	-0.1095	-0.2969	0.2987	0.0532	-0.2902	6.8028	0.0329	0.2605	1.0000	16.0000	0.2007	0.0673	-0.2934	0.1874	-0.0149	-0.3457	0.1488	-0.0694	-0.2403	0.1878	-0.0173	-0.3184	0.6537	0.5969	0.6568	0.5921	0.6635	0.5888	0.7317	0.6671
