	sentence	labels	predictions	max_prob	predictive_entropy	dempster_shafer	softmax_gap	variance	mutual_information
0	[CLS] to kendte russiske historikere andronik mirganjan og igor klamkin tror ikke, at rusland kan udvikles uden en'jernnæve '. [SEP] [PAD] [PAD]	-100 18 18 1 18 9 -100 -100 16 -100 -100 -100 18 9 -100 16 -100 18 18 18 18 0 -100 18 18 18 18 18 18 -100 18 18 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.5539 0.4939 0.4720 0.4939 0.4512 0.4939 0.4591 0.4939 0.5170 0.4957 0.4939 0.4940 0.5246 0.5741 0.5649 0.4939 0.4928 0.4332 0.4939 0.5220 0.3965 0.4939 0.5111 0.5314 0.4939 0.5221 0.5239 0.5035 0.4481 0.4939 0.4524 0.4939 0.5150	1.8889 1.8826 1.8535 1.8889 1.6063 1.8889 1.6441 1.8889 1.7161 1.8889 1.8636 1.7069 1.8889 1.8891 1.8846 2.0194 1.6929 1.8889 1.8819 1.5655 1.8889 1.8825 1.4938 1.8889 1.8442 1.8564 1.8889 1.8826 1.8224 1.9037 1.6611 1.8889 1.5600 1.8889 1.8673	0.2648 0.2448 0.1716 0.2648 0.1071 0.2648 0.1186 0.2648 0.1665 0.2648 0.2368 0.0934 0.2648 0.2648 0.2441 0.2764 0.0717 0.2648 0.2683 0.0960 0.2648 0.2448 0.0855 0.2648 0.2224 0.2138 0.2648 0.2448 0.1887 0.2676 0.1473 0.2648 0.0922 0.2648 0.2365	0.6175 0.6786 0.7092 0.6175 0.6692 0.6175 0.5747 0.6175 0.5477 0.6175 0.6683 0.6440 0.6175 0.6178 0.6828 0.7401 0.8326 0.6175 0.6227 0.6051 0.6175 0.6786 0.5121 0.6175 0.6485 0.6717 0.6175 0.6786 0.6387 0.6385 0.5268 0.6175 0.6312 0.6175 0.6576	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 0.0000 0.0001 -0.0000 0.0001 -0.0000 0.0003 -0.0000 0.0000 0.0016 -0.0000 0.0000 0.0000 0.0000 0.0001 -0.0000 0.0002 0.0008 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0006 -0.0000 0.0000 0.0000 0.0000 0.0003 0.0000 0.0035 -0.0000 0.0016
1	[CLS] de hævder, at ruslands vej til demokrati gar gennem diktatur. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 0 -100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.5660 0.4939 0.5217 0.4964 0.5250 0.4971 0.5195 0.4939 0.5213 0.5186 0.4939 0.4063 0.4939 0.5159 0.5258 0.4939 0.4503 0.4939 0.4495 0.4939 0.4474 0.4939 0.4427 0.4939 0.4405 0.4939 0.4418 0.4939 0.4401 0.4939 0.4414 0.4939 0.4397	1.8889 1.8826 1.8945 1.8889 1.8799 1.8970 1.8603 1.8946 1.5957 1.8889 1.8786 1.5925 1.8889 1.5600 1.8889 1.9321 1.5922 1.8889 1.6794 1.8889 1.6889 1.8889 1.6775 1.8889 1.6682 1.8889 1.6610 1.8889 1.6683 1.8889 1.6567 1.8889 1.6674 1.8889 1.6599	0.2648 0.2448 0.2174 0.2648 0.2437 0.2672 0.2245 0.2675 0.0766 0.2648 0.2422 0.0641 0.2648 0.1345 0.2648 0.2784 0.0733 0.2648 0.1375 0.2648 0.1411 0.2648 0.1380 0.2648 0.1394 0.2648 0.1362 0.2648 0.1409 0.2648 0.1378 0.2648 0.1413 0.2648 0.1368	0.6175 0.6786 0.7358 0.6175 0.6785 0.6215 0.6778 0.6277 0.7812 0.6175 0.6765 0.7761 0.6175 0.5060 0.6175 0.6740 0.8087 0.6175 0.5304 0.6175 0.5258 0.6175 0.5274 0.6175 0.5215 0.6175 0.5217 0.6175 0.5236 0.6175 0.5227 0.6175 0.5187 0.6175 0.5201	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0001 0.0006 -0.0000 0.0003 -0.0000 0.0004 -0.0000 0.0006 0.0000 0.0006 0.0000 0.0008 -0.0000 0.0003 0.0000 0.0003 0.0000 0.0006 0.0000 0.0008
2	[CLS] i en af deres artikler hedder det :'i et autoritært regime lagdeles samfundet og forskellige interesser modnes. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 -100 18 18 18 18 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.4939 0.5226 0.5111 0.4939 0.5219 0.4881 0.4939 0.5211 0.4958 0.5284 0.4939 0.5220 0.4938 0.5221 0.4647 0.4940 0.4386 0.4939 0.5221 0.5318 0.4939 0.4939 0.5224 0.4877 0.4939 0.4839 0.5082 0.5349 0.4466 0.4939 0.4443 0.4939 0.4430	1.8889 1.8826 1.8889 1.8819 1.7462 1.8889 1.8821 1.6173 1.8889 1.8785 1.8935 1.8815 1.8889 1.8821 1.8887 1.8794 1.7140 1.8890 1.5641 1.8889 1.8820 1.7301 1.8889 1.8889 1.8830 1.6900 1.8889 1.7764 1.9142 1.8355 1.5846 1.8889 1.6714 1.8889 1.6639	0.2648 0.2448 0.2648 0.2444 0.1054 0.2648 0.2446 0.0767 0.2648 0.2426 0.2657 0.2382 0.2648 0.2447 0.2648 0.2440 0.1647 0.2649 0.0985 0.2648 0.2443 0.0862 0.2648 0.2648 0.2450 0.0901 0.2648 0.2008 0.2719 0.2408 0.0680 0.2648 0.1336 0.2648 0.1360	0.6175 0.6786 0.6175 0.6802 0.6573 0.6175 0.6783 0.6917 0.6175 0.6763 0.6207 0.6855 0.6175 0.6789 0.6176 0.6804 0.5668 0.6178 0.5977 0.6175 0.6785 0.7315 0.6175 0.6175 0.6794 0.6385 0.6175 0.6043 0.6494 0.7537 0.5978 0.6175 0.5204 0.6175 0.5190	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0002 -0.0000 0.0002 -0.0000 0.0003
3	[CLS] og nar deres repræsentanter er parate til at ga i struben pa hinanden, sa stopper en jernnæve'det. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4948 0.5215 0.4671 0.4822 0.4932 0.5107 0.5080 0.4988 0.5208 0.4731 0.4852 0.5154 0.4914 0.4658 0.4939 0.5221 0.5397 0.4939 0.4931 0.4939 0.4698 0.4939 0.4854 0.4913 0.4354 0.4943 0.4902 0.4869 0.5002 0.4625 0.4821 0.4693 0.4469 0.4594 0.4670	1.8906 1.8747 1.7149 1.8222 1.8870 1.8250 1.8931 1.8860 1.8712 1.6572 1.8247 1.8833 1.6844 1.7737 1.8889 1.8824 1.8225 1.8889 1.7927 1.8889 1.6874 1.8889 1.7556 1.8942 1.6286 1.8720 1.7298 1.7738 1.7820 1.7988 1.7594 1.7475 1.7243 1.7475 1.7529	0.2648 0.2448 0.1757 0.2663 0.2649 0.2192 0.2513 0.2646 0.2364 0.0771 0.2648 0.2442 0.0795 0.2648 0.2648 0.2448 0.1263 0.2648 0.1879 0.2648 0.1301 0.2648 0.1874 0.2663 0.1266 0.2649 0.1895 0.1755 0.2029 0.2422 0.1914 0.2114 0.1390 0.2391 0.1588	0.6175 0.6790 0.5811 0.6269 0.6172 0.6551 0.6577 0.6171 0.6772 0.6519 0.6175 0.6783 0.7333 0.6175 0.6175 0.6789 0.6810 0.6175 0.5988 0.6175 0.6131 0.6175 0.6045 0.6129 0.5644 0.6178 0.5726 0.5777 0.5792 0.6080 0.5408 0.6305 0.5506 0.6180 0.5462	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0003 0.0000 0.0000 0.0000 0.0002 0.0001 0.0000 0.0000	0.0000 0.0000 0.0001 0.0000 0.0000 0.0002 0.0015 0.0000 0.0003 0.0124 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0003 0.0000 0.0027 0.0004 0.0204 0.0000 0.0120 0.0484 0.0135 0.0195 0.0118 0.0432 0.0267 0.0117 0.0147
4	[CLS] pa den made skabes hele tiden betingelserne for en harmonisering af interesser og følgelig for demokratiske reformer '. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 -100 18 18 18 18 -100 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4942 0.5231 0.5001 0.4939 0.5221 0.4925 0.4874 0.4939 0.5181 0.4939 0.5224 0.4784 0.5350 0.4939 0.5163 0.4212 0.4939 0.4891 0.4701 0.4939 0.5221 0.4439 0.4939 0.5219 0.4866 0.4939 0.4902 0.5173 0.5388 0.4309 0.4939 0.4478 0.4939 0.4425 0.4939	1.8890 1.8817 1.6365 1.8889 1.8826 1.8868 1.7706 1.8889 1.8683 1.8889 1.8798 1.7729 1.8614 1.8889 1.8589 1.5945 1.8889 1.8789 1.6647 1.8889 1.8826 1.5437 1.8889 1.8815 1.6920 1.8889 1.7929 1.9173 1.8113 1.6029 1.8889 1.6690 1.8889 1.6746 1.8889	0.2648 0.2448 0.0761 0.2648 0.2448 0.2665 0.1808 0.2648 0.2366 0.2648 0.2429 0.2180 0.1780 0.2648 0.2310 0.1263 0.2648 0.2657 0.1279 0.2648 0.2448 0.0684 0.2648 0.2443 0.0913 0.2648 0.2081 0.2694 0.2286 0.0830 0.2648 0.1342 0.2648 0.1452 0.2648	0.6175 0.6797 0.7136 0.6175 0.6786 0.6190 0.5944 0.6175 0.6683 0.6176 0.6791 0.6227 0.6768 0.6175 0.6643 0.5088 0.6176 0.6145 0.6087 0.6175 0.6786 0.6182 0.6175 0.6783 0.6329 0.6175 0.6168 0.6713 0.7665 0.5212 0.6175 0.5271 0.6175 0.5268 0.6175	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0005 0.0000 0.0000 0.0045 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0001 0.0000 0.0002 -0.0000 0.0007 0.0000 0.0006 -0.0000
5	[CLS] og de tilføjede :'netop fordi vi end ikke har et kim af civilt samfund, var vi imod folkekongressen. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 18 18 18 18 18 -100 18 18 18 18 18 18 18 6 -100 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.4939 0.5221 0.4573 0.4939 0.4586 0.4939 0.5220 0.5121 0.4939 0.5221 0.4815 0.4939 0.5221 0.4919 0.5127 0.4939 0.5221 0.4939 0.5221 0.5590 0.4939 0.5218 0.4934 0.5195 0.5032 0.4939 0.5221 0.4877 0.4939 0.4831 0.5066 0.5338 0.4498	1.8889 1.8826 1.8889 1.8813 1.6454 1.8889 1.6496 1.8889 1.8825 1.6636 1.8889 1.8826 1.5717 1.8889 1.8826 1.7729 1.7383 1.8889 1.8826 1.8889 1.8818 1.8573 1.8889 1.8815 1.8878 1.8678 1.6088 1.8889 1.8824 1.6980 1.8889 1.7739 1.9118 1.8399 1.5841	0.2648 0.2448 0.2648 0.2446 0.1008 0.2648 0.1193 0.2648 0.2448 0.0843 0.2648 0.2448 0.0697 0.2648 0.2448 0.2058 0.1373 0.2648 0.2448 0.2648 0.2446 0.1650 0.2648 0.2443 0.2649 0.2381 0.0692 0.2648 0.2447 0.0929 0.2648 0.1995 0.2714 0.2429 0.0666	0.6175 0.6786 0.6176 0.6795 0.5847 0.6175 0.6055 0.6175 0.6786 0.7259 0.6175 0.6786 0.7011 0.6175 0.6786 0.6110 0.6663 0.6175 0.6786 0.6175 0.6791 0.7016 0.6175 0.6782 0.6172 0.6746 0.7334 0.6175 0.6786 0.6313 0.6175 0.6018 0.6450 0.7488 0.6082	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0001 -0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0001
6	[CLS] bortset fra illusionen om demokrati kunne den ikke give noget reelt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 -100 18 18 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.5157 0.4939 0.5221 0.4931 0.5215 0.4834 0.4939 0.4939 0.5221 0.4885 0.4939 0.5221 0.5143 0.4939 0.5220 0.4881 0.4939 0.4848 0.5091 0.5355 0.4449 0.4939 0.4442 0.4939 0.4436 0.4939 0.4427 0.4939 0.4423 0.4939 0.4407 0.4939 0.4393	1.8889 1.8826 1.6538 1.8889 1.8826 1.8873 1.8606 1.6946 1.8889 1.8889 1.8826 1.6119 1.8889 1.8826 1.6037 1.8889 1.8822 1.6998 1.8889 1.7784 1.9151 1.8334 1.5917 1.8889 1.6708 1.8889 1.6660 1.8889 1.6632 1.8889 1.6660 1.8889 1.6611 1.8889 1.6632	0.2648 0.2448 0.0746 0.2648 0.2448 0.2650 0.2302 0.1023 0.2648 0.2648 0.2448 0.0733 0.2648 0.2448 0.0659 0.2648 0.2445 0.0932 0.2648 0.2015 0.2721 0.2391 0.0700 0.2648 0.1327 0.2648 0.1383 0.2648 0.1313 0.2648 0.1458 0.2648 0.1398 0.2648 0.1439	0.6175 0.6786 0.7368 0.6175 0.6786 0.6172 0.6758 0.6252 0.6175 0.6175 0.6786 0.6952 0.6175 0.6786 0.7625 0.6175 0.6785 0.6307 0.6175 0.6053 0.6507 0.7543 0.5893 0.6175 0.5207 0.6175 0.5191 0.6175 0.5184 0.6175 0.5194 0.6175 0.5220 0.6175 0.5211	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0002 -0.0000 0.0002 0.0000 0.0004 -0.0000 0.0009 -0.0000 0.0009 -0.0000 0.0017 0.0000 0.0015
7	[CLS] det kunne den ikke helt objektivt. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.4991 0.4939 0.4939 0.5221 0.4938 0.5165 0.5078 0.4939 0.5221 0.4877 0.4939 0.4831 0.5067 0.5339 0.4496 0.4939 0.4457 0.4939 0.4416 0.4939 0.4427 0.4939 0.4435 0.4939 0.4423 0.4939 0.4382 0.4939 0.4426 0.4939 0.4404 0.4939 0.4409	1.8889 1.8826 1.6142 1.8889 1.8889 1.8826 1.8887 1.8645 1.5933 1.8889 1.8824 1.6980 1.8889 1.7741 1.9120 1.8396 1.5843 1.8889 1.6778 1.8889 1.6611 1.8889 1.6742 1.8889 1.6641 1.8889 1.6673 1.8889 1.6583 1.8889 1.6648 1.8889 1.6668 1.8889 1.6600	0.2648 0.2448 0.0724 0.2648 0.2648 0.2448 0.2649 0.2398 0.0652 0.2648 0.2447 0.0929 0.2648 0.1995 0.2714 0.2427 0.0667 0.2648 0.1390 0.2648 0.1295 0.2648 0.1460 0.2648 0.1329 0.2648 0.1458 0.2648 0.1398 0.2648 0.1343 0.2648 0.1397 0.2648 0.1361	0.6175 0.6786 0.7202 0.6175 0.6175 0.6786 0.6178 0.6720 0.7528 0.6175 0.6786 0.6314 0.6175 0.6020 0.6452 0.7490 0.6076 0.6175 0.5242 0.6175 0.5211 0.6175 0.5280 0.6175 0.5272 0.6175 0.5193 0.6175 0.5230 0.6175 0.5172 0.6175 0.5204 0.6175 0.5252	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0001 -0.0000 0.0003 0.0000 0.0001 -0.0000 0.0007 0.0000 0.0011 -0.0000 0.0008 0.0000 0.0006 0.0000 0.0008 0.0000 0.0009 0.0000 0.0017
8	[CLS] det var slet ikke pa grund af apparatets lænker. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 18 18 18 18 18 18 18 -100 18 -100 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.4939 0.5223 0.4939 0.5221 0.4922 0.5143 0.4669 0.4939 0.5178 0.5008 0.5007 0.4939 0.4822 0.4940 0.4662 0.4942 0.4437 0.4939 0.4473 0.4939 0.4449 0.4939 0.4415 0.4939 0.4387 0.4939 0.4405 0.4939 0.4402 0.4939 0.4413 0.4939 0.4404	1.8889 1.8826 1.8889 1.8825 1.8889 1.8825 1.8843 1.8479 1.7136 1.8889 1.8666 1.8755 1.4771 1.8889 1.7592 1.8891 1.7142 1.8890 1.6610 1.8889 1.6845 1.8889 1.6683 1.8889 1.6636 1.8889 1.6623 1.8889 1.6633 1.8889 1.6594 1.8889 1.6644 1.8889 1.6599	0.2648 0.2448 0.2648 0.2448 0.2648 0.2448 0.2644 0.2306 0.1581 0.2648 0.2358 0.2637 0.0501 0.2648 0.1710 0.2648 0.1560 0.2648 0.1272 0.2648 0.1523 0.2648 0.1454 0.2648 0.1292 0.2648 0.1437 0.2648 0.1354 0.2648 0.1406 0.2648 0.1398 0.2648 0.1385	0.6175 0.6786 0.6175 0.6794 0.6175 0.6786 0.6163 0.6673 0.5678 0.6175 0.6685 0.6507 0.7861 0.6175 0.5740 0.6177 0.5743 0.6177 0.5224 0.6175 0.5374 0.6175 0.5386 0.6175 0.5179 0.6175 0.5219 0.6175 0.5217 0.6175 0.5206 0.6175 0.5210 0.6175 0.5219	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 0.0000 -0.0000 0.0001 0.0000 0.0009 0.0000 0.0003 -0.0000 0.0006 -0.0000 0.0019 -0.0000 0.0009 0.0000 0.0017 0.0000 0.0009 0.0000 0.0012 -0.0000 0.0011 0.0000 0.0012
9	[CLS] illusioner er farlige. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	-100 18 -100 18 18 18 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100	18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18	0.4939 0.5221 0.5018 0.4939 0.5221 0.3168 0.4939 0.4764 0.4939 0.4711 0.4948 0.5130 0.4878 0.4780 0.4405 0.4992 0.4383 0.4939 0.4441 0.4939 0.4390 0.4939 0.4400 0.4939 0.4388 0.4939 0.4404 0.4939 0.4389 0.4939 0.4421 0.4939 0.4407 0.4939 0.4423	1.8889 1.8826 1.6353 1.8889 1.8826 1.2655 1.8889 1.6781 1.8889 1.7418 1.8908 1.8073 1.7182 1.8190 1.6239 1.8901 1.6758 1.8889 1.6683 1.8889 1.6619 1.8889 1.6613 1.8889 1.6573 1.8889 1.6565 1.8889 1.6621 1.8889 1.6611 1.8889 1.6585 1.8889 1.6602	0.2648 0.2448 0.0745 0.2648 0.2448 0.0678 0.2648 0.1216 0.2648 0.1793 0.2653 0.2212 0.1673 0.2388 0.1253 0.2651 0.1399 0.2648 0.1388 0.2648 0.1364 0.2648 0.1395 0.2648 0.1392 0.2648 0.1368 0.2648 0.1412 0.2648 0.1373 0.2648 0.1412 0.2648 0.1389	0.6175 0.6786 0.7149 0.6175 0.6786 0.4230 0.6175 0.6319 0.6175 0.5753 0.6198 0.7030 0.6202 0.6216 0.5191 0.6175 0.5385 0.6175 0.5354 0.6175 0.5173 0.6175 0.5179 0.6175 0.5174 0.6175 0.5197 0.6175 0.5246 0.6175 0.5215 0.6175 0.5186 0.6175 0.5209	0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 0.0001 0.0002 0.0001 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000	-0.0000 0.0000 0.0000 -0.0000 0.0000 0.0000 -0.0000 0.0000 -0.0000 0.0000 0.0000 0.0003 0.0102 0.0128 0.0176 0.0000 0.0011 0.0000 0.0019 0.0000 0.0009 0.0000 0.0007 0.0000 0.0012 -0.0000 0.0015 0.0000 0.0013 0.0000 0.0009 0.0000 0.0004 0.0000 0.0004
